Evaluation Query,RAGAS Metric Category,Phase 2 Score,Phase 4 Performance Target,Architectural Improvement Driver
What is Deep Learning?,Answer Relevancy,0.77,0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
What is Deep Learning?,Faithfulness,0.80 (Avg Baseline),1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
What is the difference between Machine Learning and Deep Learning?,Context Precision,1.00,1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
What is the difference between Machine Learning and Deep Learning?,Context Recall,0.80 (Avg Baseline),1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
What is the difference between Machine Learning and Deep Learning?,Answer Relevancy,0.78 (Avg Baseline),0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
What is the difference between Machine Learning and Deep Learning?,Faithfulness,0.80 (Avg Baseline),1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
What is a Transformer Model?,Context Precision,1.00,1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
What is a Transformer Model?,Context Recall,1.00,1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
What is a Transformer Model?,Answer Relevancy,0.78 (Avg Baseline),0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
What is a Transformer Model?,Faithfulness,0.80 (Avg Baseline),1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
What is self-attention in Transformer models?,Context Precision,1.00,1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
What is self-attention in Transformer models?,Context Recall,1.00,1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
What is self-attention in Transformer models?,Answer Relevancy,0.82,0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
What is self-attention in Transformer models?,Faithfulness,1.00,1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
What is Natural Language Processing?,Context Precision,1.00,1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
What is Natural Language Processing?,Context Recall,1.00,1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
What is Natural Language Processing?,Answer Relevancy,0.80,0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
What is Natural Language Processing?,Faithfulness,1.00,1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
What are the applications of Natural Language Processing?,Context Precision,0.75,1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
What are the applications of Natural Language Processing?,Context Recall,0.80 (Avg Baseline),1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
What are the applications of Natural Language Processing?,Answer Relevancy,0.78 (Avg Baseline),0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
What are the applications of Natural Language Processing?,Faithfulness,0.80 (Avg Baseline),1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
